"inicio";"fin";"humidity (sanpedro 002)";"std";"min";"max";"temperature (sanpedro 002)";"std";"min";"max";"humidity (sanpedro 003)";"std";"min";"max";"temperature (sanpedro 003)";"std";"min";"max";"humidity (sanpedro 004)";"std";"min";"max";"temp_dry (sanpedro 004)";"std";"min";"max";"temp_wet (sanpedro 004)";"std";"min";"max";"humidity (sanpedro 005)";"std";"min";"max";"temperature (sanpedro 005)";"std";"min";"max"
"2013-04-15 08:12:55";"2013-04-15 08:12:57";85.8;0;85.8;85.8;15.8;0;15.8;15.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:12:57";"2013-04-15 08:12:58";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:12:58";"2013-04-15 08:13:00";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:00";"2013-04-15 08:13:01";85.4;0;85.4;85.4;15.8;0;15.8;15.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:01";"2013-04-15 08:13:03";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:03";"2013-04-15 08:13:04";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:04";"2013-04-15 08:13:06";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:06";"2013-04-15 08:13:07";85.2;0;85.2;85.2;15.9;0;15.9;15.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:07";"2013-04-15 08:13:09";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:09";"2013-04-15 08:13:10";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:10";"2013-04-15 08:13:12";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:12";"2013-04-15 08:13:13";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:13";"2013-04-15 08:13:15";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:15";"2013-04-15 08:13:16";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:16";"2013-04-15 08:13:18";85.1;0;85.1;85.1;15.9;0;15.9;15.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:18";"2013-04-15 08:13:19";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:19";"2013-04-15 08:13:21";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:21";"2013-04-15 08:13:22";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:22";"2013-04-15 08:13:24";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:24";"2013-04-15 08:13:25";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:25";"2013-04-15 08:13:27";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:27";"2013-04-15 08:13:28";85;0;85;85;15.9;0;15.9;15.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:28";"2013-04-15 08:13:30";;;;;;;;;;;;;;;;;86;0;86;86;15.8;0;15.8;15.8;14.3;0;14.3;14.3;;;;;;;;
"2013-04-15 08:13:30";"2013-04-15 08:13:31";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:31";"2013-04-15 08:13:33";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:33";"2013-04-15 08:13:34";92.7;0;92.7;92.7;16.7;0;16.7;16.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:34";"2013-04-15 08:13:36";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:36";"2013-04-15 08:13:37";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:37";"2013-04-15 08:13:39";85.4;0;85.4;85.4;15.9;0;15.9;15.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:39";"2013-04-15 08:13:40";;;;;;;;;;;;;;;;;85;0;85;85;15.9;0;15.9;15.9;14.3;0;14.3;14.3;;;;;;;;
"2013-04-15 08:13:40";"2013-04-15 08:13:42";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:42";"2013-04-15 08:13:43";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:43";"2013-04-15 08:13:45";85.9;0;85.9;85.9;16;0;16;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:45";"2013-04-15 08:13:46";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:46";"2013-04-15 08:13:48";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:48";"2013-04-15 08:13:49";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:49";"2013-04-15 08:13:51";86.3;0;86.3;86.3;16;0;16;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:51";"2013-04-15 08:13:52";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:52";"2013-04-15 08:13:54";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:54";"2013-04-15 08:13:55";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:55";"2013-04-15 08:13:57";86.5;0;86.5;86.5;16;0;16;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:57";"2013-04-15 08:13:58";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:58";"2013-04-15 08:14:00";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:00";"2013-04-15 08:14:01";86.7;0;86.7;86.7;16;0;16;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:01";"2013-04-15 08:14:03";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:03";"2013-04-15 08:14:04";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:04";"2013-04-15 08:14:06";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:06";"2013-04-15 08:14:07";86.6;0;86.6;86.6;16;0;16;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:07";"2013-04-15 08:14:09";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:09";"2013-04-15 08:14:10";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:10";"2013-04-15 08:14:12";86.5;0;86.5;86.5;16.1;0;16.1;16.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:12";"2013-04-15 08:14:13";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:13";"2013-04-15 08:14:15";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:15";"2013-04-15 08:14:16";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:16";"2013-04-15 08:14:18";86.3;0;86.3;86.3;16.1;0;16.1;16.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:18";"2013-04-15 08:14:19";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:19";"2013-04-15 08:14:21";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:21";"2013-04-15 08:14:22";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:22";"2013-04-15 08:14:24";86;0;86;86;16.1;0;16.1;16.1;;;;;;;;;85;0;85;85;16;0;16;16;14.3;0;14.3;14.3;;;;;;;;
"2013-04-15 08:14:24";"2013-04-15 08:14:25";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:25";"2013-04-15 08:14:27";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:27";"2013-04-15 08:14:28";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:28";"2013-04-15 08:14:30";85.8;0;85.8;85.8;16.1;0;16.1;16.1;;;;;;;;;86;0;86;86;16;0;16;16;14.4;0;14.4;14.4;;;;;;;;
"2013-04-15 08:14:30";"2013-04-15 08:14:31";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:31";"2013-04-15 08:14:33";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:33";"2013-04-15 08:14:34";85.8;0;85.8;85.8;16.2;0;16.2;16.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:34";"2013-04-15 08:14:36";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:36";"2013-04-15 08:14:37";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:37";"2013-04-15 08:14:39";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:39";"2013-04-15 08:14:40";95;0;95;95;16.5;0;16.5;16.5;;;;;;;;;85;0;85;85;16.1;0;16.1;16.1;14.4;0;14.4;14.4;;;;;;;;
"2013-04-15 08:14:40";"2013-04-15 08:14:42";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:42";"2013-04-15 08:14:43";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:43";"2013-04-15 08:14:45";85.6;0;85.6;85.6;16.2;0;16.2;16.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:45";"2013-04-15 08:14:46";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:46";"2013-04-15 08:14:48";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:48";"2013-04-15 08:14:49";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:49";"2013-04-15 08:14:51";85.7;0;85.7;85.7;16.2;0;16.2;16.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:51";"2013-04-15 08:14:52";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:52";"2013-04-15 08:14:54";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:54";"2013-04-15 08:14:55";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:55";"2013-04-15 08:14:57";85.7;0;85.7;85.7;16.3;0;16.3;16.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:57";"2013-04-15 08:14:58";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:58";"2013-04-15 08:15:00";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:15:00";"2013-04-15 08:15:01";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:15:01";"2013-04-15 08:15:03";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:15:03";"2013-04-15 08:15:04";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:15:04";"2013-04-15 08:15:06";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:15:06";"2013-04-15 08:15:07";;;;;;;;;;;;;;;;;84;0;84;84;16.2;0;16.2;16.2;14.4;0;14.4;14.4;;;;;;;;
"2013-04-15 08:15:07";"2013-04-15 08:15:09";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:15:09";"2013-04-15 08:15:10";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:15:10";"2013-04-15 08:15:12";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:15:12";"2013-04-15 08:15:13";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:15:13";"2013-04-15 08:15:15";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:15:15";"2013-04-15 08:15:16";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:15:16";"2013-04-15 08:15:18";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:15:18";"2013-04-15 08:15:19";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:15:19";"2013-04-15 08:15:21";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:15:21";"2013-04-15 08:15:22";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:15:22";"2013-04-15 08:15:24";;;;;;;;;;;;;;;;;84;0;84;84;16.3;0;16.3;16.3;14.5;0;14.5;14.5;;;;;;;;
"2013-04-15 08:15:24";"2013-04-15 08:15:25";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:15:25";"2013-04-15 08:15:27";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:15:27";"2013-04-15 08:15:28";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:15:28";"2013-04-15 08:15:30";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:15:30";"2013-04-15 08:15:31";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:15:31";"2013-04-15 08:15:33";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:15:33";"2013-04-15 08:15:34";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:15:34";"2013-04-15 08:15:36";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:15:36";"2013-04-15 08:15:37";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:15:37";"2013-04-15 08:15:39";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:15:39";"2013-04-15 08:15:40";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:15:40";"2013-04-15 08:15:42";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:15:42";"2013-04-15 08:15:43";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:15:43";"2013-04-15 08:15:45";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:15:45";"2013-04-15 08:15:46";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:15:46";"2013-04-15 08:15:48";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:15:48";"2013-04-15 08:15:49";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:15:49";"2013-04-15 08:15:51";;;;;;;;;;;;;;;;;83;0;83;83;16.4;0;16.4;16.4;14.5;0;14.5;14.5;;;;;;;;
"2013-04-15 08:15:51";"2013-04-15 08:15:52";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:15:52";"2013-04-15 08:15:54";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:15:54";"2013-04-15 08:15:55";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:15:55";"2013-04-15 08:15:57";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:15:57";"2013-04-15 08:15:58";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:15:58";"2013-04-15 08:16:00";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
