"inicio";"fin";"humidity (timana0 001)";"std";"min";"max";"temp_dry (timana0 001)";"std";"min";"max";"temp_wet (timana0 001)";"std";"min";"max"
"2013-08-09 00:00:00";"2013-08-09 00:10:00";;;;;;;;;;;;
"2013-08-09 00:10:00";"2013-08-09 00:20:00";;;;;;;;;;;;
"2013-08-09 00:20:00";"2013-08-09 00:30:00";;;;;;;;;;;;
"2013-08-09 00:30:00";"2013-08-09 00:40:00";;;;;;;;;;;;
"2013-08-09 00:40:00";"2013-08-09 00:50:00";;;;;;;;;;;;
"2013-08-09 00:50:00";"2013-08-09 01:00:00";;;;;;;;;;;;
"2013-08-09 01:00:00";"2013-08-09 01:10:00";;;;;;;;;;;;
"2013-08-09 01:10:00";"2013-08-09 01:20:00";;;;;;;;;;;;
"2013-08-09 01:20:00";"2013-08-09 01:30:00";;;;;;;;;;;;
"2013-08-09 01:30:00";"2013-08-09 01:40:00";;;;;;;;;;;;
"2013-08-09 01:40:00";"2013-08-09 01:50:00";;;;;;;;;;;;
"2013-08-09 01:50:00";"2013-08-09 02:00:00";;;;;;;;;;;;
"2013-08-09 02:00:00";"2013-08-09 02:10:00";;;;;;;;;;;;
"2013-08-09 02:10:00";"2013-08-09 02:20:00";;;;;;;;;;;;
"2013-08-09 02:20:00";"2013-08-09 02:30:00";;;;;;;;;;;;
"2013-08-09 02:30:00";"2013-08-09 02:40:00";;;;;;;;;;;;
"2013-08-09 02:40:00";"2013-08-09 02:50:00";;;;;;;;;;;;
"2013-08-09 02:50:00";"2013-08-09 03:00:00";;;;;;;;;;;;
"2013-08-09 03:00:00";"2013-08-09 03:10:00";;;;;;;;;;;;
"2013-08-09 03:10:00";"2013-08-09 03:20:00";;;;;;;;;;;;
"2013-08-09 03:20:00";"2013-08-09 03:30:00";;;;;;;;;;;;
"2013-08-09 03:30:00";"2013-08-09 03:40:00";;;;;;;;;;;;
"2013-08-09 03:40:00";"2013-08-09 03:50:00";;;;;;;;;;;;
"2013-08-09 03:50:00";"2013-08-09 04:00:00";;;;;;;;;;;;
"2013-08-09 04:00:00";"2013-08-09 04:10:00";;;;;;;;;;;;
"2013-08-09 04:10:00";"2013-08-09 04:20:00";;;;;;;;;;;;
"2013-08-09 04:20:00";"2013-08-09 04:30:00";;;;;;;;;;;;
"2013-08-09 04:30:00";"2013-08-09 04:40:00";;;;;;;;;;;;
"2013-08-09 04:40:00";"2013-08-09 04:50:00";;;;;;;;;;;;
"2013-08-09 04:50:00";"2013-08-09 05:00:00";;;;;;;;;;;;
"2013-08-09 05:00:00";"2013-08-09 05:10:00";;;;;;;;;;;;
"2013-08-09 05:10:00";"2013-08-09 05:20:00";;;;;;;;;;;;
"2013-08-09 05:20:00";"2013-08-09 05:30:00";;;;;;;;;;;;
"2013-08-09 05:30:00";"2013-08-09 05:40:00";;;;;;;;;;;;
"2013-08-09 05:40:00";"2013-08-09 05:50:00";;;;;;;;;;;;
"2013-08-09 05:50:00";"2013-08-09 06:00:00";;;;;;;;;;;;
"2013-08-09 06:00:00";"2013-08-09 06:10:00";;;;;;;;;;;;
"2013-08-09 06:10:00";"2013-08-09 06:20:00";;;;;;;;;;;;
"2013-08-09 06:20:00";"2013-08-09 06:30:00";;;;;;;;;;;;
"2013-08-09 06:30:00";"2013-08-09 06:40:00";;;;;;;;;;;;
"2013-08-09 06:40:00";"2013-08-09 06:50:00";;;;;;;;;;;;
"2013-08-09 06:50:00";"2013-08-09 07:00:00";;;;;;;;;;;;
"2013-08-09 07:00:00";"2013-08-09 07:10:00";;;;;;;;;;;;
"2013-08-09 07:10:00";"2013-08-09 07:20:00";;;;;;;;;;;;
"2013-08-09 07:20:00";"2013-08-09 07:30:00";;;;;;;;;;;;
"2013-08-09 07:30:00";"2013-08-09 07:40:00";;;;;;;;;;;;
"2013-08-09 07:40:00";"2013-08-09 07:50:00";;;;;;;;;;;;
"2013-08-09 07:50:00";"2013-08-09 08:00:00";74.125;0.80317;72;75;15.98393;0.10484;15.8;16.3;13.29643;0.10345;13.2;13.6
"2013-08-09 08:00:00";"2013-08-09 08:10:00";70;2;68;72;17.2;0.5;16.7;17.7;13.95;0.25;13.7;14.2
"2013-08-09 08:10:00";"2013-08-09 08:20:00";70;0;70;70;17.6;0;17.6;17.6;14.3;0;14.3;14.3
"2013-08-09 08:20:00";"2013-08-09 08:30:00";66;1;65;67;18.85;0.45;18.4;19.3;14.95;0.55;14.4;15.5
"2013-08-09 08:30:00";"2013-08-09 08:40:00";69.5;1.5;68;71;19.25;0.25;19;19.5;15.75;0.05;15.7;15.8
"2013-08-09 08:40:00";"2013-08-09 08:50:00";74;0;74;74;19.05;0.25;18.8;19.3;16.15;0.25;15.9;16.4
"2013-08-09 08:50:00";"2013-08-09 09:00:00";79;1;78;80;19.45;0.15;19.3;19.6;17.05;0.25;16.8;17.3
"2013-08-09 09:00:00";"2013-08-09 09:10:00";80;1;79;81;19.55;0.75;18.8;20.3;17.3;0.6;16.7;17.9
"2013-08-09 09:10:00";"2013-08-09 09:20:00";85;1;84;86;19.4;0.1;19.3;19.5;17.8;0;17.8;17.8
"2013-08-09 09:20:00";"2013-08-09 09:30:00";85.5;0.5;85;86;19.6;0.3;19.3;19.9;18;0.3;17.7;18.3
"2013-08-09 09:30:00";"2013-08-09 09:40:00";90;0;90;90;19.7;0;19.7;19.7;18.6;0;18.6;18.6
"2013-08-09 09:40:00";"2013-08-09 09:50:00";;;;;;;;;;;;
"2013-08-09 09:50:00";"2013-08-09 10:00:00";;;;;;;;;;;;
"2013-08-09 10:00:00";"2013-08-09 10:10:00";;;;;;;;;;;;
"2013-08-09 10:10:00";"2013-08-09 10:20:00";;;;;;;;;;;;
"2013-08-09 10:20:00";"2013-08-09 10:30:00";;;;;;;;;;;;
"2013-08-09 10:30:00";"2013-08-09 10:40:00";;;;;;;;;;;;
"2013-08-09 10:40:00";"2013-08-09 10:50:00";;;;;;;;;;;;
"2013-08-09 10:50:00";"2013-08-09 11:00:00";;;;;;;;;;;;
"2013-08-09 11:00:00";"2013-08-09 11:10:00";;;;;;;;;;;;
"2013-08-09 11:10:00";"2013-08-09 11:20:00";;;;;;;;;;;;
"2013-08-09 11:20:00";"2013-08-09 11:30:00";;;;;;;;;;;;
"2013-08-09 11:30:00";"2013-08-09 11:40:00";;;;;;;;;;;;
"2013-08-09 11:40:00";"2013-08-09 11:50:00";;;;;;;;;;;;
"2013-08-09 11:50:00";"2013-08-09 12:00:00";;;;;;;;;;;;
"2013-08-09 12:00:00";"2013-08-09 12:10:00";;;;;;;;;;;;
"2013-08-09 12:10:00";"2013-08-09 12:20:00";;;;;;;;;;;;
"2013-08-09 12:20:00";"2013-08-09 12:30:00";;;;;;;;;;;;
"2013-08-09 12:30:00";"2013-08-09 12:40:00";;;;;;;;;;;;
"2013-08-09 12:40:00";"2013-08-09 12:50:00";;;;;;;;;;;;
"2013-08-09 12:50:00";"2013-08-09 13:00:00";;;;;;;;;;;;
"2013-08-09 13:00:00";"2013-08-09 13:10:00";;;;;;;;;;;;
"2013-08-09 13:10:00";"2013-08-09 13:20:00";;;;;;;;;;;;
"2013-08-09 13:20:00";"2013-08-09 13:30:00";;;;;;;;;;;;
"2013-08-09 13:30:00";"2013-08-09 13:40:00";;;;;;;;;;;;
"2013-08-09 13:40:00";"2013-08-09 13:50:00";;;;;;;;;;;;
"2013-08-09 13:50:00";"2013-08-09 14:00:00";;;;;;;;;;;;
"2013-08-09 14:00:00";"2013-08-09 14:10:00";;;;;;;;;;;;
"2013-08-09 14:10:00";"2013-08-09 14:20:00";;;;;;;;;;;;
"2013-08-09 14:20:00";"2013-08-09 14:30:00";;;;;;;;;;;;
"2013-08-09 14:30:00";"2013-08-09 14:40:00";;;;;;;;;;;;
"2013-08-09 14:40:00";"2013-08-09 14:50:00";;;;;;;;;;;;
"2013-08-09 14:50:00";"2013-08-09 15:00:00";;;;;;;;;;;;
"2013-08-09 15:00:00";"2013-08-09 15:10:00";;;;;;;;;;;;
"2013-08-09 15:10:00";"2013-08-09 15:20:00";;;;;;;;;;;;
"2013-08-09 15:20:00";"2013-08-09 15:30:00";;;;;;;;;;;;
"2013-08-09 15:30:00";"2013-08-09 15:40:00";;;;;;;;;;;;
"2013-08-09 15:40:00";"2013-08-09 15:50:00";;;;;;;;;;;;
"2013-08-09 15:50:00";"2013-08-09 16:00:00";;;;;;;;;;;;
"2013-08-09 16:00:00";"2013-08-09 16:10:00";;;;;;;;;;;;
"2013-08-09 16:10:00";"2013-08-09 16:20:00";;;;;;;;;;;;
"2013-08-09 16:20:00";"2013-08-09 16:30:00";;;;;;;;;;;;
"2013-08-09 16:30:00";"2013-08-09 16:40:00";;;;;;;;;;;;
"2013-08-09 16:40:00";"2013-08-09 16:50:00";;;;;;;;;;;;
"2013-08-09 16:50:00";"2013-08-09 17:00:00";;;;;;;;;;;;
"2013-08-09 17:00:00";"2013-08-09 17:10:00";;;;;;;;;;;;
"2013-08-09 17:10:00";"2013-08-09 17:20:00";;;;;;;;;;;;
"2013-08-09 17:20:00";"2013-08-09 17:30:00";;;;;;;;;;;;
"2013-08-09 17:30:00";"2013-08-09 17:40:00";;;;;;;;;;;;
"2013-08-09 17:40:00";"2013-08-09 17:50:00";;;;;;;;;;;;
"2013-08-09 17:50:00";"2013-08-09 18:00:00";;;;;;;;;;;;
"2013-08-09 18:00:00";"2013-08-09 18:10:00";;;;;;;;;;;;
"2013-08-09 18:10:00";"2013-08-09 18:20:00";;;;;;;;;;;;
"2013-08-09 18:20:00";"2013-08-09 18:30:00";;;;;;;;;;;;
"2013-08-09 18:30:00";"2013-08-09 18:40:00";;;;;;;;;;;;
"2013-08-09 18:40:00";"2013-08-09 18:50:00";;;;;;;;;;;;
"2013-08-09 18:50:00";"2013-08-09 19:00:00";;;;;;;;;;;;
"2013-08-09 19:00:00";"2013-08-09 19:10:00";;;;;;;;;;;;
"2013-08-09 19:10:00";"2013-08-09 19:20:00";;;;;;;;;;;;
"2013-08-09 19:20:00";"2013-08-09 19:30:00";;;;;;;;;;;;
"2013-08-09 19:30:00";"2013-08-09 19:40:00";;;;;;;;;;;;
"2013-08-09 19:40:00";"2013-08-09 19:50:00";;;;;;;;;;;;
"2013-08-09 19:50:00";"2013-08-09 20:00:00";;;;;;;;;;;;
"2013-08-09 20:00:00";"2013-08-09 20:10:00";;;;;;;;;;;;
"2013-08-09 20:10:00";"2013-08-09 20:20:00";;;;;;;;;;;;
"2013-08-09 20:20:00";"2013-08-09 20:30:00";;;;;;;;;;;;
"2013-08-09 20:30:00";"2013-08-09 20:40:00";;;;;;;;;;;;
"2013-08-09 20:40:00";"2013-08-09 20:50:00";;;;;;;;;;;;
"2013-08-09 20:50:00";"2013-08-09 21:00:00";;;;;;;;;;;;
"2013-08-09 21:00:00";"2013-08-09 21:10:00";;;;;;;;;;;;
"2013-08-09 21:10:00";"2013-08-09 21:20:00";;;;;;;;;;;;
"2013-08-09 21:20:00";"2013-08-09 21:30:00";;;;;;;;;;;;
"2013-08-09 21:30:00";"2013-08-09 21:40:00";;;;;;;;;;;;
"2013-08-09 21:40:00";"2013-08-09 21:50:00";;;;;;;;;;;;
"2013-08-09 21:50:00";"2013-08-09 22:00:00";;;;;;;;;;;;
"2013-08-09 22:00:00";"2013-08-09 22:10:00";;;;;;;;;;;;
"2013-08-09 22:10:00";"2013-08-09 22:20:00";;;;;;;;;;;;
"2013-08-09 22:20:00";"2013-08-09 22:30:00";;;;;;;;;;;;
"2013-08-09 22:30:00";"2013-08-09 22:40:00";;;;;;;;;;;;
"2013-08-09 22:40:00";"2013-08-09 22:50:00";;;;;;;;;;;;
"2013-08-09 22:50:00";"2013-08-09 23:00:00";;;;;;;;;;;;
"2013-08-09 23:00:00";"2013-08-09 23:10:00";;;;;;;;;;;;
"2013-08-09 23:10:00";"2013-08-09 23:20:00";;;;;;;;;;;;
"2013-08-09 23:20:00";"2013-08-09 23:30:00";;;;;;;;;;;;
"2013-08-09 23:30:00";"2013-08-09 23:40:00";;;;;;;;;;;;
"2013-08-09 23:40:00";"2013-08-09 23:50:00";;;;;;;;;;;;
"2013-08-09 23:50:00";"2013-08-10 00:00:00";;;;;;;;;;;;
